entry_z,exit_z,min_hold,n_trades,win_rate,total_mtm,total_carry,total_pnl,avg_pnl_per_trade
1.0,-1.5,30,5,0.8,1215000,100188,1315188,263037.6
1.0,-1.25,30,7,0.8571428571428571,1912500,83684,1996184,285169.14285714284
1.0,-1.0,30,8,0.875,2025000,33280,2058280,257285.0
1.0,-0.75,30,8,0.875,1575000,18504,1593504,199188.0
1.0,-0.5,30,8,0.875,1237500,10204,1247704,155963.0
1.0,-0.25,30,10,0.9,1620000,12105,1632105,163210.5
1.0,0.0,30,11,0.8181818181818182,1890000,40665,1930665,175515.0
1.0,0.25,30,11,0.8181818181818182,1552500,90230,1642730,149339.0909090909
1.0,0.5,30,14,0.8571428571428571,1417500,96979,1514479,108177.07142857143
1.0,0.75,30,17,0.8235294117647058,1440000,107707,1547707,91041.58823529411
1.25,-1.5,30,5,0.8,1350000,100401,1450401,290080.2
1.25,-1.25,30,7,0.8571428571428571,2047500,83897,2131397,304485.28571428574
1.25,-1.0,30,8,0.875,2205000,32224,2237224,279653.0
1.25,-0.75,30,8,0.875,1800000,17295,1817295,227161.875
1.25,-0.5,30,8,0.875,1462500,8995,1471495,183936.875
1.25,-0.25,30,10,0.9,1935000,10224,1945224,194522.4
1.25,0.0,30,10,0.8,1890000,165491,2055491,205549.1
1.25,0.25,30,10,0.8,1597500,164717,1762217,176221.7
1.25,0.5,30,13,0.8461538461538461,1665000,164757,1829757,140750.53846153847
1.25,0.75,30,14,0.8571428571428571,1552500,153041,1705541,121824.35714285714
1.25,1.0,30,16,0.8125,1147500,120526,1268026,79251.625
1.5,-1.5,30,5,0.8,1417500,100219,1517719,303543.8
1.5,-1.25,30,7,0.8571428571428571,2250000,77278,2327278,332468.28571428574
1.5,-1.0,30,8,0.875,2407500,25605,2433105,304138.125
1.5,-0.75,30,8,0.875,2002500,10675,2013175,251646.875
1.5,-0.5,30,8,0.875,1665000,2375,1667375,208421.875
1.5,-0.25,30,8,0.875,1485000,-4844,1480156,185019.5
1.5,0.0,30,8,0.75,1440000,150423,1590423,198802.875
1.5,0.25,30,8,0.75,1305000,149429,1454429,181803.625
1.5,0.5,30,10,0.8,1260000,137152,1397152,139715.2
1.5,0.75,30,10,0.8,787500,140190,927690,92769.0
1.5,1.0,30,10,0.7,337500,151606,489106,48910.6
1.5,1.25,30,14,0.7857142857142857,517500,149268,666768,47626.28571428572
